Main_name,Second Name,Date,No of Beds,Price,Service Fee,Total before taxes,Amenities,Cleanliness,Communication,Accuracy,Location,Check in
['Condo in Kampala'],['Kiota... stylish getaway nest'],['Mar 5 – 10'],['1 queen bed'],['$38 per night'],['-'],['-'],"[['Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage: wardrobe', 'HDTV with Amazon Prime Video, Apple TV, Netflix, premium cable, standard cable', 'Sound system with Bluetooth and aux', 'Exercise equipment: free weights, treadmill, yoga mat', 'Pool table', 'Pack ’n play/Travel crib', 'High chair', 'Window guards', 'Baby safety gates', 'Portable air conditioning', 'Portable fans', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Wifi – 10 Mbps', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Stainless steel gas stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Toaster', 'Blender', 'Coffee', 'Dining table', 'Private patio or balcony', 'Outdoor furniture', 'Free parking on premises', 'Shared indoor pool - available all year, open specific hours', 'Elevator', 'Shared gym in building', 'Single level home', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Cleaning available during stay', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']]",['4.9'],['4.9'],['4.9'],['4.8'],['4.9']
['Apartment in Kampala'],['Relaxed and Cozy 1 bedroom Apt'],['Mar 5 – 12'],['1 bed'],"['$25 per night, originally $38']",['$10'],['$23'],"[['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Safe', 'Mosquito net', 'Clothing storage: wardrobe and closet', '58"" HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, Roku', 'Sound system', 'Window guards', 'Board games', 'Babysitter recommendations', 'Air conditioning', 'Portable fans', 'Central heating', 'Security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Gas stove', 'Stainless steel oven', 'Hot water kettle', 'Blender', 'Trash compactor', 'Coffee', 'Dining table', 'Private entrance', 'Private patio or balcony', 'Outdoor furniture', 'Free parking on premises – 2 spaces', 'Pets allowed', 'Self check-in', 'Building staff', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']]",['-'],['-'],['-'],['-'],['-']
['Home in Jinja'],['Nile Falls House - an exclusive Jinja experience.'],['Mar 12 – 17'],['7 beds'],['$434 per night'],['$268'],['-'],"[['River view', 'Valley view', 'Mountain view', 'Shampoo', 'Hot water', 'Essentials', 'Hangers', 'Bed linens', 'TV', 'Crib', 'Children’s books and toys', 'High chair', 'Children’s dinnerware', 'Security cameras on property', 'First aid kit', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Oven', 'Waterfront', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'Fire pit', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill', 'Free parking on premises', 'Private pool', 'Luggage dropoff allowed', 'Self check-in', 'Building staff', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']]",['4.9'],['4.8'],['4.9'],['5.0'],['4.8']
['Apartment in Kampala'],['Cosy & Convenient 1BD with Patio'],['Mar 17 – 22'],['1 queen bed'],['$23 per night'],['$5'],['$15'],"[['Cleaning products', 'Hot water', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage: closet', 'TV', 'Portable fans', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Freezer', 'Stainless steel gas stove', 'Hot water kettle', 'Coffee maker: french press', 'Wine glasses', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Free parking on premises', 'Single level home', 'Long term stays allowed', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']]",['4.8'],['4.8'],['5.0'],['4.8'],['4.8']
['Apartment in Kampala'],['Modern 1BR Apt Near Acacia Mall'],['Mar 13 – 18'],['1 king bed'],['$60 per night'],['$15'],['$39'],"[['City skyline view', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Shower gel', 'Washer', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Mosquito net', 'Clothing storage: closet, dresser, and wardrobe', '65"" HDTV with Netflix', 'Exercise equipment', 'Pool table', 'Air conditioning', 'Smoke alarm', 'Fire extinguisher', 'Wifi – 11 Mbps', 'Kitchen', 'LG refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stainless steel induction stove', 'Hot water kettle', 'Wine glasses', 'Toaster', 'Trash compactor', 'Dining table', 'Laundromat nearby', 'Private patio or balcony', 'Outdoor furniture', 'Free parking on premises', 'Free street parking', 'Elevator', 'Shared gym in building', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Cleaning available during stay', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']]",['4.8'],['5.0'],['5.0'],['5.0'],['5.0']
['Home in Kampala'],['Delux Room in hill top garden home'],['Mar 28 – Apr 2'],['1 queen bed'],['$14 per night'],['$5'],['$9'],"[['City skyline view', 'Cleaning products', 'Hot water', 'Paid washer – In building', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Mosquito net', 'Clothing storage', 'Ethernet connection', 'Exercise equipment', 'Ping pong table', 'Books and reading material', 'Children’s books and toys for ages 10+ years old', 'Baby bath', 'Changing table', 'Board games', 'Baby safety gates', 'Babysitter recommendations', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stainless steel stove', 'Stainless steel oven', 'Hot water kettle', 'Coffee maker: espresso machine, french press', 'Wine glasses', 'Toaster', 'Baking sheet', 'Blender', 'Rice maker', 'Barbecue utensils', 'Bread maker', 'Paid resort access', 'Shared patio or balcony', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'Shared outdoor kitchen', 'BBQ grill: wood-burning', 'Free parking on premises', 'Free street parking', 'Luggage dropoff allowed', 'Long term stays allowed', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: TV\nTV', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']]",['4.9'],['4.9'],['4.9'],['4.9'],['4.9']
['Home in Kampala'],['Tiny studio at Kization'],['Mar 5 – 10'],['1 small double bed'],['$16 per night'],['$5'],['$11'],"[['Cleaning products', 'Body soap', 'Hot water', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Mosquito net', 'TV', 'Portable fans', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Stove', 'Hot water kettle', 'Coffee maker', 'Private entrance', 'Shared backyard – Fully fenced', 'Outdoor furniture', 'BBQ grill', 'Free driveway parking on premises', 'Single level home', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning available during stay', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Heating\nHeating']]",['5.0'],['4.9'],['5.0'],['4.7'],['4.9']
['Cabin in Jinja'],"[""Harry's Cabin - Overlooking Lake Victoria""]",['Mar 10 – 16'],['1 bed'],['$45 per night'],['$10'],['$34'],"[['Lake view', 'River view', 'Valley view', 'City skyline view', 'Cleaning products', 'Body soap', 'Outdoor shower', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Mosquito net', 'Clothing storage: closet', 'Books and reading material', 'Crib', 'High chair', 'Board games', 'Smoke alarm', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Gas stove', 'Coffee maker: french press', 'Wine glasses', 'Barbecue utensils', 'Coffee', 'Dining table', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Hammock', 'Outdoor dining area', 'BBQ grill', 'Free parking on premises', 'Long term stays allowed', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: TV\nTV', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']]",['4.9'],['4.9'],['4.9'],['4.7'],['4.9']
['Condo in Kampala'],['Cozy 1 bed Apartment in Kiwatule-Kampala'],['Mar 6 – 13'],['1 bed'],"['$33 per night, originally $38']",['$29'],['-'],"[['Cleaning products', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage: dresser and closet', 'Ethernet connection', '43"" HDTV with Amazon Prime Video', 'Bluetooth sound system', 'Game console: PS4', 'Security cameras on property', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Oven', 'Hot water kettle', 'Wine glasses', 'Rice maker', 'Patio or balcony', 'Free parking on premises', 'Pets allowed', 'Long term stays allowed', 'Unavailable: Washer\nWasher', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']]",['4.7'],['5.0'],['4.8'],['4.6'],['5.0']
['Home in Kampala'],['Mj luxury home 2-bedrooms with free parking space'],['Mar 5 – 10'],['2 beds'],['$23 per night'],['$14'],['-'],"[['Outdoor shower', 'Iron', 'HDTV with Amazon Prime Video, Fire TV, Netflix', 'Portable air conditioning', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Dishes and silverware', 'Outdoor furniture', 'Free parking on premises', 'Pets allowed', 'Smoking allowed', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']]",['4.4'],['4.9'],['4.7'],['4.6'],['4.7']
